Major,MajorName,Campus,College,Major_Abbr,Pathway,deg_level,deg_type,DegreeLevelTypeDesc,deg_title,StartQtr,EndQtr,CIP_Code,Dept_Code,Department,dept_fas_org_code,Funding,OnlineOnly
1-B CHSJ-00-26,Community Health and Social Justice,Bothell     ,V - UW Bothell              ,B CHSJ,00,2,6,Master Of Science In,MASTER OF SCIENCE IN COMMUNITY HEALTH AND SOCIAL JUSTICE    ,2023 Autumn,No End Quarter,512208,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B CLA-00-11,"Culture, Literature, and the Arts (Bthl)",Bothell     ,V - UW Bothell              ,B CLA ,00,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (CULTURE, LITERATURE, AND THE ARTS)        ",2010 Autumn,No End Quarter,240103,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B CLIM-00-15,Climate Science and Policy,Bothell     ,V - UW Bothell              ,B CLIM,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (CLIMATE SCIENCE AND POLICY)            ,2013 Autumn,No End Quarter,030104,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
1-B CRS-00-15,Conservation and Restoration Science,Bothell     ,V - UW Bothell              ,B CRS ,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (CONSERVATION AND RESTORATION SCIENCE)  ,2020 Autumn,No End Quarter,030104,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B ED I-00-00,Education (Certificate:Bothell Campus),Bothell     ,V - UW Bothell              ,B ED I,00,0,0,No Degree Level,,1996 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B ED S-00-00,Education Secondary (Cert: Bothell),Bothell     ,V - UW Bothell              ,B ED S,00,0,0,No Degree Level,,2020 Summer,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDSD-00-11,Educational Studies (Bothell),Bothell     ,V - UW Bothell              ,B EDSD,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (EDUCATIONAL STUDIES)                      ,2015 Autumn,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDSD-10-11,Educational St: Elementary Education,Bothell     ,V - UW Bothell              ,B EDSD,10,1,1,Bachelor Of Arts,BACHELOR OF ARTS (EDUCATIONAL STUDIES: ELEMENTARY EDUCATION),2015 Autumn,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-11,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (EDUCATION)                                ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-20,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,2,0,Grad Non-Matric,BACHELOR OF ARTS (EDUCATION)                                ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-20,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,2,0,Grad Non-Matric,MASTER OF EDUCATION                                         ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-20,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,2,0,Grad Non-Matric,POST MASTER (EDUCATION)                                     ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-27,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,2,7,Master Of,MASTER OF EDUCATION                                         ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-00-30,Education (Bothell Campus),Bothell     ,V - UW Bothell              ,B EDUC,00,3,0,Pre-Doctor,POST MASTER (EDUCATION)                                     ,2013 Winter,No End Quarter,130101,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-10-20,Education: Educational Leader (Bothell),Bothell     ,V - UW Bothell              ,B EDUC,10,2,0,Grad Non-Matric,MASTER OF EDUCATION (EDUCATIONAL LEADERSHIP)                ,2009 Autumn,No End Quarter,130401,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EDUC-10-27,Education: Educational Leader (Bothell),Bothell     ,V - UW Bothell              ,B EDUC,10,2,7,Master Of,MASTER OF EDUCATION (EDUCATIONAL LEADERSHIP)                ,2009 Autumn,No End Quarter,130401,0875,EDUCATION - BOTHELL     ,5400001000,Tuition Based,
1-B EE-00-16,Electrical Engineering (Bothell),Bothell     ,V - UW Bothell              ,B EE  ,00,1,6,Bachelor Of Science In,BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING               ,2013 Autumn,No End Quarter,141001,1092,ENGINEERING AND MATH    ,5500004000,Tuition Based,
1-B EE-10-20,Electrical Engineering (Bothell),Bothell     ,V - UW Bothell              ,B EE  ,10,2,0,Grad Non-Matric,MASTER OF SCIENCE IN ELECTRICAL ENGINEERING                 ,2015 Winter,No End Quarter,141001,1092,ENGINEERING AND MATH    ,5500004000,Continuum College Fee Based,
1-B EE-10-26,Electrical Engineering (Bothell),Bothell     ,V - UW Bothell              ,B EE  ,10,2,6,Master Of Science In,MASTER OF SCIENCE IN ELECTRICAL ENGINEERING                 ,2015 Winter,No End Quarter,141001,1092,ENGINEERING AND MATH    ,5500004000,Continuum College Fee Based,
1-B EE-20-35,Electrical Engineering (Bothell),Bothell     ,V - UW Bothell              ,B EE  ,20,3,5,Graduate Certificate,GRADUATE CERTIFICATE IN ELECTRICAL ENGINEERING FOUNDATIONS  ,2017 Autumn,No End Quarter,141001,1092,ENGINEERING AND MATH    ,5500004000,Continuum College Fee Based,
1-B ENST-00-11,Environmental Studies (Bothell),Bothell     ,V - UW Bothell              ,B ENST,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (ENVIRONMENTAL STUDIES)                    ,2010 Autumn,No End Quarter,030103,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B GST-00-11,Global Studies (Bothell),Bothell     ,V - UW Bothell              ,B GST ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (GLOBAL STUDIES)                           ,2010 Autumn,No End Quarter,302001,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B GWSS-00-11,"Gender, Women, and Sexuality Studies",Bothell     ,V - UW Bothell              ,B GWSS,00,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (GENDER, WOMEN, AND SEXUALITY STUDIES)     ",2016 Autumn,No End Quarter,050207,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
