,Major1,Ethnicity_Race,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
16,All Majors,AFRO-AM,536,5108,9.497,536,5108,9.497,1.0,0.8924017575903074,1.1205715267753762,0.10759824240969262,0.12057152677537619,1.0
17,Mechanical Engineering,AFRO-AM,1,94,1.053,536,5108,9.497,0.110840534171249,0.03374828987277612,0.8102215915945624,0.07709224429847289,0.6993810574233135,0.026451968929096334
18,Nursing,AMER-IND,2,173,1.143,14,5630,0.248,4.60734693877551,1.4618934573010038,21.047846788210567,3.1454534814745063,16.440499849435056,0.011799753956113056
19,Business (MBA),AMER-IND,2,79,2.469,14,5630,0.248,9.954144620811286,3.178029533930489,44.8950834545405,6.776115086880797,34.94093883372921,0.00024106005472434224
20,Biology,AMER-IND,1,181,0.549,14,5630,0.248,2.2150706436420724,0.6002220328629593,17.07552863265145,1.6148486107791131,14.86045798900938,0.1730946864266345
21,Psychology,AMER-IND,0,174,0.0,14,5630,0.248,0.0,0.06711843898307324,18.607711664892676,0.06711843898307324,18.607711664892676,0.9382636311220114
22,Chemistry,AMER-IND,0,40,0.0,14,5630,0.248,0.0,0.29296150325274506,79.13864444857188,0.29296150325274506,79.13864444857188,0.27115202134788774
23,Master of Policy Studies,AMER-IND,0,11,0.0,14,5630,0.248,0.0,1.0770495554637816,266.94621201180826,1.0770495554637816,266.94621201180826,0.044141731352177326
24,Mathematics,AMER-IND,0,76,0.0,14,5630,0.248,0.0,0.15386929090711107,42.23227515551081,0.15386929090711107,42.23227515551081,0.5135669725580179
25,Mathematical Thinking and Visualization,AMER-IND,1,71,1.389,14,5630,0.248,5.599206349206349,1.5254134827284618,42.57366257382661,4.073792866477887,36.97445622462026,0.014002863584507298
26,Computing and Software Systems,AMER-IND,0,718,0.0,14,5630,0.248,0.0,0.016252724650327115,4.532624310124675,0.016252724650327115,4.532624310124675,0.36395301076220254
27,Environmental Studies,AMER-IND,1,21,4.545,14,5630,0.248,18.324675324675326,5.093972972346847,132.35986403358652,13.230702352328478,114.03518870891119,8.887450170586865e-05
28,Accounting,AMER-IND,0,22,0.0,14,5630,0.248,0.0,0.5345326923681256,140.5247249332873,0.5345326923681256,140.5247249332873,0.12868825119914235
29,Master of Fine Arts in Creative Writing and Poetics,AMER-IND,0,23,0.0,14,5630,0.248,0.0,0.5111209014283591,134.72069953459825,0.5111209014283591,134.72069953459825,0.13674911551543686
30,Physics,AMER-IND,0,25,0.0,14,5630,0.248,0.0,0.4699529693043043,124.44052503914038,0.4699529693043043,124.44052503914038,0.15289116144529732
31,Electrical Engineering,AMER-IND,0,180,0.0,14,5630,0.248,0.0,0.06487892678742921,17.99151658146706,0.06487892678742921,17.99151658146706,0.9570220705618842
32,Business,AMER-IND,0,742,0.0,14,5630,0.248,0.0,0.015726902081539578,4.386250055111609,0.015726902081539578,4.386250055111609,0.3519973450773328
33,Education,AMER-IND,3,165,1.786,14,5630,0.248,7.198979591836735,2.5429225393276726,25.721798316879607,4.6560570525090625,18.52281872504287,0.00039863498091521595
34,All Majors,AMER-IND,14,5630,0.248,14,5630,0.248,1.0,0.4833802536595655,2.0687646887294635,0.5166197463404345,1.0687646887294635,1.0
35,Mechanical Engineering,AMER-IND,0,95,0.0,14,5630,0.248,0.0,0.12303783213744512,33.89035721815007,0.12303783213744512,33.89035721815007,0.6184077718557812
36,Nursing,ASIAN,41,134,23.429,1911,3733,33.859,0.6919458772519997,0.5339414517534141,0.913200927174859,0.15800442549858562,0.22125504992285927,0.008711373915690636
37,Business (MBA),ASIAN,19,62,23.457,1911,3733,33.859,0.6927792959538991,0.4789404012624965,1.0423377469022699,0.2138388946914026,0.3495584509483708,0.07995565705517194
38,Biology,ASIAN,62,120,34.066,1911,3733,33.859,1.0061126733026262,0.8244079033187465,1.2405187646620988,0.18170476998387974,0.23440609135947255,0.9142862898840125
39,Psychology,ASIAN,48,126,27.586,1911,3733,33.859,0.8147386275465094,0.6443844829216439,1.0453519207785085,0.17035414462486553,0.23061329323199908,0.1094645442669003
40,Chemistry,ASIAN,10,30,25.0,1911,3733,33.859,0.7383568812140241,0.4543506965496174,1.2901513925441006,0.2840061846644067,0.5517945113300765,0.3158183385968414
41,Master of Policy Studies,ASIAN,0,11,0.0,1911,3733,33.859,0.0,0.008573387510239767,1.929984585716604,0.008573387510239767,1.929984585716604,0.13777420586269387
42,Mathematics,ASIAN,23,53,30.263,1911,3733,33.859,0.8938004351538187,0.6466464262314799,1.2725464051402167,0.24715400892233874,0.378745969986398,0.5725001217122528
43,Mathematical Thinking and Visualization,ASIAN,31,41,43.056,1911,3733,33.859,1.271614628757486,0.9842126614638387,1.6725295115667338,0.2874019672936474,0.4009148828092477,0.06542784854829493
44,Computing and Software Systems,ASIAN,250,468,34.819,1911,3733,33.859,1.0283522022479445,0.9256159464035449,1.145078856204834,0.1027362558443996,0.11672665395688941,0.5920180878026475
